Origem;Título;Palestrante
S08E19;A IA e o futuro da tradução: uma análise do panorama atual e expectativas;Valter Mendes
S08E20;Além da Língua: Estratégias que Todo Intérprete Precisa Dominar;Manuela Sampaio
S08E21;Tradução sobre Trilhos;Fabio Santana
Semana Intensiva;;André Ribeiro
Semana Intensiva;Produtividade;André Ribeiro
Semana Intensiva;Gestão de renda;André Ribeiro
SPIN-OFF_01;Tradução para dublagem;Equipe da SBD
SPIN-OFF_02;Teoria e prática da transcriação;Simone Homem de Mello
Spin-off_03;Sindrome do Impostor;Gabriel Leszczinski
Spin-off_04;A língua inglesa e os textos para negócios;Liam Gallagher
Spin-off_05;O culto à pobreza na tradução: pecados, virtudes e uma pandemia;Luciana Bonancio
Spin-off_08;Organizando suas contas;Luidg Quitete
Spin-off_09;Oficina de CNV;Priscila Stuani
Spin-off_10;20 termos de negócios e finanças que todo tradutor deve conhecer;Isa Mara Lando
Spin-off_11;Os 10 da tradução literária;Petê Rissatti
Spin-off_11 - 2;Os 10 da tradução literária;Petê Rissatti
